bulan;tahun;jumlah_curah_hujan;prediksi
1;2015;745.0;0
2;2015;419.0;0
3;2015;536.0;566
4;2015;266.0;407
5;2015;164.0;322
6;2015;0.0;143
7;2015;0.0;54
8;2015;0.0;0
9;2015;0.0;0
10;2015;0.0;0
11;2015;581.0;193
12;2015;321.0;300
1;2015;384.0;428
2;2015;296.0;333
3;2015;337.0;339
4;2015;328.0;320
5;2015;161.0;275
6;2015;0.0;163
7;2015;5.0;55
8;2015;0.0;1
9;2015;0.0;1
10;2015;0.0;0
11;2015;970.0;323
12;2015;171.0;380
1;2015;361.0;500
2;2015;339.0;290
3;2015;276.0;325
4;2015;224.0;279
5;2015;54.0;184
6;2015;84.0;120
7;2015;3.0;47
8;2015;4.0;30
9;2015;1.0;2
10;2015;0.0;1
11;2015;351.0;117
12;2015;263.0;204
1;2015;23.0;212
2;2015;83.0;123
3;2015;26.0;44
4;2015;25.0;44
5;2015;25.0;25
6;2015;33.0;27
7;2015;0.0;19
8;2015;0.0;11
9;2015;0.0;0
10;2015;0.0;0
11;2015;84.0;28
12;2015;238.0;107
1;2015;240.0;187
2;2015;276.0;251
3;2015;280.0;265
4;2015;219.0;258
5;2015;152.0;217
6;2015;51.0;140
7;2015;3.0;68
8;2015;0.0;18
9;2015;7.0;3
10;2015;0.0;2
11;2015;365.0;124
12;2015;478.0;281
1;2015;311.0;384
2;2015;625.0;471
3;2015;350.0;428
4;2015;237.0;404
5;2015;112.0;233
6;2015;110.0;153
7;2015;10.0;77
8;2015;0.0;40
9;2015;0.0;3
10;2015;0.0;0
11;2015;765.0;255
12;2015;262.0;342
1;2015;53.0;360
2;2015;133.0;149
3;2015;124.0;103
4;2015;55.0;104
5;2015;200.0;126
6;2015;264.0;173
7;2015;13.0;159
8;2015;10.0;95
9;2015;0.0;7
10;2015;5.0;5
11;2015;209.0;71
12;2015;298.0;170
1;2015;584.0;363
2;2015;435.0;439
3;2015;519.0;512
4;2015;222.0;392
5;2015;293.0;344
6;2015;98.0;204
7;2015;32.0;141
8;2015;25.0;51
9;2015;0.0;19
10;2015;0.0;8
11;2015;723.0;241
12;2015;691.9;471
1;2015;490.0;634
2;2015;492.0;557
3;2015;481.0;487
4;2015;409.0;460
5;2015;219.0;369
6;2015;194.0;274
7;2015;36.0;149
8;2015;7.0;79
9;2015;3.0;15
10;2015;0.0;3
11;2015;723.0;242
12;2015;280.0;334
1;2015;113.0;372
2;2015;120.0;171
3;2015;231.0;154
4;2015;106.0;152
5;2015;23.0;120
6;2015;134.0;87
7;2015;5.0;54
8;2015;18.0;52
9;2015;0.0;7
10;2015;0.0;6
11;2015;376.0;125
12;2015;300.5;225
1;2015;143.0;273
2;2015;155.0;199
3;2015;288.0;195
4;2015;70.0;171
5;2015;0.0;119
6;2015;0.0;23
7;2015;0.0;0
8;2015;6.0;2
9;2015;0.0;2
10;2015;0.0;2
11;2015;255.0;85
12;2015;138.0;131
1;2015;23.0;138
2;2015;429.0;196
3;2015;320.0;257
4;2015;253.0;334
5;2015;74.0;215
6;2015;46.0;124
7;2015;5.0;41
8;2015;0.0;17
9;2015;0.0;1
10;2015;0.0;0
11;2015;302.0;100
12;2015;223.0;175
